hour,day_of_week,is_weekend,rain_intensity,temperature,humidity,event_flag,rush_hour,avg_speed,traffic_flow
5,6,1,0.1,22.5,45.0,0,0,52.4,129.0
5,6,1,0.0,32.3,87.3,0,0,60.0,81.0
5,6,1,0.0,39.7,44.9,0,0,48.4,108.0
5,6,1,0.33,31.2,58.5,0,0,48.7,88.0
5,6,1,0.0,24.2,56.0,0,0,43.9,119.0
5,6,1,0.07,26.0,52.5,0,0,60.0,76.0
5,6,1,0.32,32.3,39.8,0,0,50.0,94.0
6,6,1,0.22,21.9,86.4,0,0,60.0,50.0
6,6,1,0.02,41.9,62.7,0,0,58.0,66.0
6,6,1,0.28,20.0,34.3,0,0,49.2,112.0
6,6,1,0.01,22.2,71.8,0,0,54.2,98.0
6,6,1,0.44,30.0,46.9,0,0,48.1,111.0
6,6,1,0.0,15.2,76.6,0,0,52.5,86.0
6,6,1,0.13,33.8,75.1,0,0,56.4,65.0
6,6,1,0.2,32.4,79.6,1,0,47.8,143.0
6,6,1,0.3,24.0,87.0,0,0,54.5,144.0
6,6,1,0.0,21.4,49.7,0,0,56.1,105.0
7,6,1,0.39,30.0,35.5,0,1,27.1,437.0
7,6,1,0.0,39.2,83.3,0,1,34.0,325.0
7,6,1,0.32,20.5,67.1,0,1,28.9,428.0
7,6,1,0.37,32.0,34.9,0,1,22.2,410.0
7,6,1,0.0,23.3,76.6,0,1,46.2,289.0
7,6,1,0.11,25.0,58.1,0,1,26.6,390.0
7,6,1,0.36,37.3,87.7,0,1,25.3,406.0
7,6,1,0.1,28.7,87.8,0,1,31.3,384.0
7,6,1,0.23,18.8,88.2,0,1,25.8,482.0
7,6,1,0.07,39.9,67.7,0,1,31.2,396.0
8,6,1,0.86,18.5,46.6,0,1,10.0,585.0
8,6,1,0.51,10.5,34.7,0,1,31.7,503.0
8,6,1,0.49,20.4,71.1,0,1,29.3,508.0
8,6,1,0.41,23.9,82.0,0,1,20.1,500.0
8,6,1,0.0,35.8,88.2,0,1,34.5,358.0
8,6,1,0.0,17.8,46.4,0,1,34.0,350.0
8,6,1,0.06,30.0,57.0,0,1,38.1,327.0
8,6,1,0.52,37.3,51.5,0,1,18.4,505.0
8,6,1,0.67,25.9,61.2,1,1,17.8,810.0
8,6,1,0.51,26.3,54.2,1,1,18.8,758.0
9,6,1,0.0,30.5,38.2,0,1,44.9,298.0
9,6,1,0.47,23.9,50.9,0,1,21.0,526.0
9,6,1,0.69,14.0,81.7,0,1,23.3,542.0
9,6,1,0.12,11.7,88.8,0,1,35.5,320.0
9,6,1,0.0,30.4,34.6,1,1,25.5,492.0
9,6,1,0.42,22.7,58.4,0,1,29.6,439.0
9,6,1,0.04,18.7,40.6,0,1,35.2,318.0
9,6,1,0.22,6.7,71.4,0,1,31.8,390.0
9,6,1,0.17,23.2,78.4,0,1,34.8,374.0
9,6,1,0.04,15.2,59.1,0,1,43.2,315.0
10,6,1,0.69,23.0,32.2,1,0,16.4,515.0
10,6,1,0.21,32.7,61.9,0,0,37.1,241.0
10,6,1,0.0,26.6,46.2,0,0,44.4,204.0
10,6,1,0.0,19.8,49.6,0,0,44.9,261.0
10,6,1,0.2,36.8,35.2,0,0,41.5,314.0
10,6,1,0.07,37.7,37.7,0,0,38.5,195.0
10,6,1,0.48,40.3,51.4,0,0,38.8,291.0
10,6,1,0.09,23.1,39.2,0,0,42.1,206.0
10,6,1,0.02,18.1,40.4,0,0,53.0,139.0
10,6,1,0.32,24.3,81.9,0,0,45.3,246.0
11,6,1,0.35,17.2,85.8,0,0,43.3,330.0
11,6,1,0.48,18.9,41.2,0,0,30.9,268.0
11,6,1,0.0,25.4,36.9,0,0,51.7,164.0
11,6,1,0.0,27.1,58.9,0,0,46.0,190.0
11,6,1,0.0,21.9,33.8,0,0,49.4,192.0
11,6,1,0.53,31.2,65.7,0,0,39.1,225.0
11,6,1,0.37,23.4,79.8,0,0,39.6,278.0
11,6,1,0.35,37.6,80.5,0,0,37.1,278.0
11,6,1,0.05,21.5,39.9,0,0,47.5,235.0
11,6,1,0.0,27.9,82.6,0,0,39.5,246.0
12,6,1,0.0,16.9,57.8,0,0,37.7,242.0
12,6,1,0.0,25.1,84.0,0,0,31.3,235.0
12,6,1,0.27,31.2,37.0,0,0,43.3,260.0
12,6,1,0.0,21.8,77.6,0,0,54.2,229.0
12,6,1,0.25,27.0,39.1,1,0,29.9,346.0
12,6,1,0.65,28.2,82.6,0,0,31.1,351.0
12,6,1,0.12,17.2,77.8,1,0,32.3,332.0
12,6,1,0.49,32.8,68.5,0,0,46.5,305.0
12,6,1,0.0,15.0,40.9,0,0,48.0,215.0
12,6,1,0.0,6.4,86.8,0,0,38.0,218.0
13,6,1,0.93,26.0,31.1,0,0,31.4,420.0
13,6,1,0.27,28.5,39.2,1,0,33.9,438.0
13,6,1,0.68,20.9,86.1,0,0,39.8,321.0
13,6,1,0.96,29.2,53.9,0,0,30.4,367.0
13,6,1,0.0,11.8,62.2,1,0,40.0,308.0
13,6,1,0.58,18.5,57.1,0,0,30.0,300.0
13,6,1,0.13,22.8,59.9,1,0,31.4,371.0
13,6,1,0.52,10.2,67.9,0,0,32.7,290.0
13,6,1,0.97,25.5,34.0,0,0,37.1,350.0
13,6,1,0.17,26.2,41.4,0,0,39.5,237.0
14,6,1,0.0,25.9,76.5,0,0,27.8,252.0
14,6,1,0.0,15.1,63.6,0,0,43.2,200.0
14,6,1,0.0,18.8,68.6,0,0,44.7,199.0
14,6,1,0.35,18.8,69.5,0,0,32.6,290.0
14,6,1,0.04,28.9,69.2,0,0,43.4,207.0
14,6,1,0.44,17.5,81.3,0,0,45.3,274.0
14,6,1,0.0,29.9,47.6,0,0,56.8,160.0
14,6,1,0.0,18.5,52.8,0,0,50.8,163.0
14,6,1,0.0,39.0,63.1,0,0,45.5,157.0
14,6,1,0.49,24.8,78.0,0,0,38.6,282.0
15,6,1,0.29,11.3,68.0,0,0,39.9,240.0
15,6,1,0.0,25.8,46.3,0,0,38.9,216.0
15,6,1,0.32,11.4,69.1,0,0,43.9,250.0
15,6,1,0.69,37.6,69.9,0,0,33.3,270.0
15,6,1,0.01,25.2,40.0,0,0,45.9,202.0
15,6,1,0.0,29.6,53.4,0,0,39.6,182.0
15,6,1,0.0,33.4,64.0,0,0,38.0,272.0
15,6,1,0.23,26.4,42.9,0,0,43.3,231.0
15,6,1,0.97,24.2,50.1,0,0,34.1,362.0
15,6,1,0.25,22.3,59.7,0,0,51.5,234.0
16,6,1,0.41,20.5,78.0,1,0,35.7,386.0
16,6,1,0.0,34.2,35.5,0,0,47.5,208.0
16,6,1,0.25,14.3,82.4,0,0,42.3,277.0
16,6,1,0.59,33.5,81.0,0,0,28.7,306.0
16,6,1,0.33,26.7,40.8,0,0,38.9,290.0
16,6,1,0.33,23.3,88.3,1,0,33.6,398.0
16,6,1,0.21,25.2,49.1,0,0,47.3,203.0
16,6,1,0.0,35.2,73.5,0,0,42.5,204.0
16,6,1,0.63,26.6,49.1,0,0,35.7,343.0
16,6,1,0.0,29.7,31.5,0,0,49.4,212.0
17,6,1,0.04,36.3,58.8,0,1,29.0,434.0
17,6,1,0.0,10.9,74.3,0,1,30.1,379.0
17,6,1,0.0,17.7,47.8,0,1,28.9,334.0
17,6,1,0.0,30.5,87.0,0,1,27.3,422.0
17,6,1,0.19,30.4,66.8,0,1,31.7,485.0
17,6,1,0.0,25.6,40.6,0,1,29.2,373.0
17,6,1,0.01,34.5,33.5,1,1,10.6,581.0
17,6,1,0.44,33.4,39.2,0,1,24.7,513.0
17,6,1,0.26,12.9,65.6,0,1,27.2,449.0
17,6,1,0.09,29.7,37.8,0,1,29.5,429.0
18,6,1,0.4,41.1,35.2,0,1,18.9,464.0
18,6,1,0.47,17.4,59.8,0,1,21.9,522.0
18,6,1,0.2,34.5,58.8,0,1,25.0,489.0
18,6,1,0.6,15.9,63.9,1,1,10.2,886.0
18,6,1,0.38,33.9,81.0,0,1,24.4,522.0
18,6,1,0.35,31.9,70.8,0,1,22.5,543.0
18,6,1,0.15,26.2,50.1,0,1,31.1,418.0
18,6,1,0.33,28.2,60.4,0,1,22.7,500.0
18,6,1,0.0,31.0,68.0,0,1,28.3,437.0
18,6,1,0.28,21.8,62.5,0,1,25.6,477.0
19,6,1,0.38,26.5,36.2,0,1,23.3,517.0
19,6,1,0.14,21.8,72.5,0,1,23.4,441.0
19,6,1,0.56,12.8,32.7,0,1,14.0,578.0
19,6,1,0.16,8.7,76.2,0,1,37.5,426.0
19,6,1,0.0,7.4,39.8,0,1,34.1,411.0
19,6,1,0.54,35.5,46.4,0,1,16.0,580.0
19,6,1,0.75,16.4,53.9,0,1,11.0,655.0
19,6,1,0.0,19.6,31.9,1,1,25.9,550.0
19,6,1,0.18,33.9,88.1,0,1,24.7,455.0
19,6,1,0.41,30.8,80.7,0,1,26.1,541.0
20,6,1,0.26,30.7,77.8,0,0,46.9,172.0
20,6,1,0.31,18.9,55.8,0,0,37.2,209.0
20,6,1,0.24,19.6,46.1,0,0,51.4,181.0
20,6,1,0.12,24.8,34.3,0,0,35.1,170.0
20,6,1,0.0,31.1,71.7,0,0,49.0,179.0
20,6,1,0.19,20.4,36.3,0,0,39.7,194.0
20,6,1,0.65,32.0,63.6,0,0,43.0,229.0
20,6,1,0.12,24.3,34.7,1,0,40.1,246.0
20,6,1,0.74,30.1,78.0,0,0,38.8,253.0
20,6,1,0.28,18.6,72.4,0,0,41.2,208.0
21,6,1,0.41,28.1,72.8,0,0,50.0,206.0
21,6,1,0.23,32.6,79.0,0,0,36.9,262.0
21,6,1,0.72,26.6,34.9,0,0,39.8,234.0
21,6,1,0.39,34.0,59.9,0,0,41.8,272.0
21,6,1,0.21,26.0,42.0,0,0,47.5,181.0
21,6,1,0.53,24.1,73.6,0,0,51.0,224.0
21,6,1,0.0,13.3,89.3,0,0,60.0,121.0
21,6,1,0.17,39.2,82.4,0,0,50.5,185.0
21,6,1,0.4,12.4,84.7,0,0,35.9,237.0
21,6,1,0.61,31.2,37.9,0,0,41.4,265.0
22,6,1,0.03,19.6,88.3,0,0,44.9,182.0
22,6,1,0.0,24.6,82.2,0,0,31.4,191.0
22,6,1,0.54,11.1,39.8,0,0,40.6,252.0
22,6,1,0.44,15.0,49.5,0,0,45.7,213.0
22,6,1,0.19,28.8,44.2,1,0,44.3,227.0
22,6,1,0.12,34.9,44.9,0,0,47.0,229.0
22,6,1,0.1,22.2,32.2,0,0,50.6,206.0
22,6,1,0.56,24.3,78.3,0,0,40.6,275.0
22,6,1,0.12,23.4,46.2,0,0,42.6,186.0
22,6,1,0.16,16.7,86.0,0,0,35.6,192.0
23,6,1,0.47,27.8,57.3,1,0,60.0,82.0
23,6,1,0.0,28.2,31.8,0,0,47.1,103.0
23,6,1,0.38,16.6,88.2,0,0,49.3,100.0
23,6,1,0.52,23.7,40.6,0,0,53.1,125.0
23,6,1,0.25,27.9,59.8,0,0,53.1,113.0
23,6,1,0.07,25.5,85.9,0,0,57.9,107.0
23,6,1,0.39,15.9,53.6,0,0,56.3,69.0
23,6,1,0.5,23.0,76.9,0,0,51.3,146.0
23,6,1,0.13,32.7,49.6,0,0,54.7,109.0
23,6,1,0.42,30.1,56.1,0,0,54.0,89.0
0,0,0,0.15,25.1,49.5,0,0,46.3,74.0
0,0,0,0.0,37.4,56.9,0,0,47.3,81.0
0,0,0,0.69,33.1,67.2,0,0,50.0,88.0
0,0,0,0.22,34.0,58.8,0,0,46.1,76.0
0,0,0,0.51,44.5,66.5,0,0,50.8,161.0
0,0,0,0.12,28.1,85.6,0,0,52.0,87.0
0,0,0,0.0,24.2,47.1,0,0,47.2,129.0
0,0,0,0.0,28.2,66.6,0,0,59.4,70.0
0,0,0,0.0,23.2,40.9,0,0,57.4,71.0
0,0,0,0.75,26.8,36.4,0,0,53.8,113.0
1,0,0,0.19,29.4,78.4,0,0,53.0,98.0
1,0,0,0.34,26.1,66.1,0,0,50.5,129.0
1,0,0,0.0,19.7,66.7,1,0,44.7,184.0
1,0,0,0.12,31.0,44.2,0,0,57.9,88.0
1,0,0,0.11,35.0,70.1,0,0,47.4,116.0
1,0,0,0.87,15.1,40.1,0,0,47.9,188.0
1,0,0,0.14,24.0,31.4,1,0,52.8,204.0
1,0,0,0.0,27.1,53.5,0,0,60.0,97.0
1,0,0,0.0,38.1,55.7,0,0,55.8,129.0
1,0,0,0.29,20.7,64.7,0,0,50.6,112.0
2,0,0,0.03,16.9,43.6,0,0,52.7,84.0
2,0,0,0.0,25.3,78.0,0,0,44.2,107.0
2,0,0,0.3,31.7,62.0,0,0,47.2,89.0
2,0,0,0.41,40.6,73.8,0,0,51.4,112.0
2,0,0,0.37,25.6,40.5,0,0,55.7,100.0
2,0,0,0.0,25.7,57.0,0,0,60.0,78.0
2,0,0,0.53,29.9,85.6,0,0,43.5,126.0
2,0,0,0.22,31.2,80.5,0,0,47.9,187.0
2,0,0,0.26,22.5,37.7,0,0,52.7,136.0
2,0,0,0.0,17.9,51.6,1,0,55.4,95.0
3,0,0,0.0,7.8,66.0,0,0,50.8,125.0
3,0,0,0.28,25.0,81.1,0,0,50.2,124.0
3,0,0,0.48,22.7,82.1,0,0,51.4,155.0
3,0,0,0.05,23.1,54.2,0,0,46.5,120.0
3,0,0,0.21,24.9,68.5,0,0,52.7,110.0
3,0,0,0.94,22.6,75.9,0,0,40.3,175.0
3,0,0,0.0,22.6,52.1,0,0,51.6,115.0
3,0,0,0.0,19.8,60.4,0,0,53.9,72.0
3,0,0,0.0,29.8,67.2,0,0,56.8,71.0
3,0,0,0.0,24.5,89.7,0,0,50.5,104.0
4,0,0,0.02,22.6,71.5,0,0,48.7,102.0
4,0,0,0.0,32.3,67.4,0,0,60.0,50.0
4,0,0,0.0,23.2,52.1,0,0,48.2,136.0
4,0,0,0.46,31.1,30.7,0,0,38.1,120.0
4,0,0,0.04,28.1,62.1,0,0,54.4,73.0
4,0,0,0.0,41.5,80.7,0,0,47.9,99.0
4,0,0,0.07,17.9,74.2,0,0,54.0,50.0
4,0,0,0.0,6.8,77.1,1,0,55.5,130.0
4,0,0,0.02,39.6,45.3,0,0,57.2,99.0
4,0,0,0.62,34.7,83.7,0,0,53.6,189.0
5,0,0,0.21,19.0,39.0,1,0,55.3,178.0
5,0,0,0.13,25.7,35.1,0,0,53.5,100.0
5,0,0,0.0,17.2,51.0,0,0,56.8,120.0
5,0,0,0.06,21.5,35.9,0,0,53.0,141.0
5,0,0,0.5,18.9,67.5,0,0,49.8,102.0
5,0,0,0.28,17.6,76.5,0,0,60.0,136.0
5,0,0,0.01,32.4,88.8,0,0,58.2,144.0
5,0,0,0.42,29.7,69.4,1,0,41.6,190.0
5,0,0,0.0,9.3,56.4,1,0,48.2,167.0
5,0,0,0.05,22.3,41.8,0,0,55.6,114.0
6,0,0,0.46,20.3,81.7,0,0,43.8,162.0
6,0,0,0.56,23.9,73.7,0,0,53.5,165.0
6,0,0,0.25,14.6,89.1,0,0,50.8,118.0
6,0,0,0.44,29.6,42.8,0,0,47.2,173.0
6,0,0,0.29,38.6,65.4,0,0,55.4,66.0
6,0,0,0.74,30.0,82.4,0,0,48.5,198.0
6,0,0,0.16,15.2,30.6,0,0,45.1,138.0
6,0,0,0.59,21.6,42.2,0,0,47.2,197.0
6,0,0,0.0,28.6,51.3,0,0,59.1,108.0
6,0,0,0.0,16.1,38.9,0,0,49.0,122.0
7,0,0,0.72,21.8,83.2,0,1,19.3,736.0
7,0,0,0.7,19.0,30.2,0,1,18.3,736.0
7,0,0,0.03,45.5,68.5,0,1,17.7,518.0
7,0,0,0.76,40.1,66.2,0,1,15.0,834.0
7,0,0,0.43,20.6,59.9,0,1,10.0,707.0
7,0,0,0.48,30.5,61.0,0,1,11.0,659.0
7,0,0,0.0,10.1,35.3,0,1,14.6,514.0
7,0,0,0.26,29.6,55.3,0,1,15.0,639.0
7,0,0,0.13,17.3,80.4,0,1,10.0,589.0
7,0,0,0.0,27.8,51.7,0,1,13.3,504.0
8,0,0,0.3,23.8,45.6,0,1,11.0,650.0
8,0,0,0.09,28.2,78.2,0,1,10.0,501.0
8,0,0,0.19,39.2,56.2,0,1,18.6,604.0
8,0,0,0.31,16.2,38.1,0,1,18.1,646.0
8,0,0,0.17,23.4,45.7,1,1,10.9,863.0
8,0,0,0.0,17.6,75.6,0,1,17.8,545.0
8,0,0,0.19,19.0,32.0,0,1,10.8,580.0
8,0,0,0.0,16.8,84.0,0,1,24.9,502.0
8,0,0,0.0,20.8,73.8,0,1,27.8,467.0
8,0,0,0.0,44.3,88.3,0,1,32.0,452.0
9,0,0,0.0,18.5,81.0,0,1,33.5,531.0
9,0,0,0.11,26.2,72.5,0,1,21.5,520.0
9,0,0,0.0,1.6,39.9,0,1,33.6,487.0
9,0,0,0.73,16.7,62.7,0,1,10.0,793.0
9,0,0,0.15,36.0,33.1,0,1,22.6,539.0
9,0,0,0.0,20.9,49.8,0,1,30.3,504.0
9,0,0,0.3,23.0,82.8,0,1,17.0,608.0
9,0,0,0.3,24.7,76.3,0,1,11.6,645.0
9,0,0,0.15,50.5,36.3,0,1,18.3,589.0
9,0,0,0.59,20.5,87.9,0,1,10.0,741.0
10,0,0,0.48,19.7,64.7,0,0,28.9,450.0
10,0,0,0.43,23.5,62.0,0,0,24.4,418.0
10,0,0,0.01,33.2,81.4,1,0,29.1,445.0
10,0,0,0.04,20.9,83.6,0,0,41.1,280.0
10,0,0,0.82,16.5,35.0,0,0,23.5,502.0
10,0,0,0.36,25.0,55.1,0,0,35.6,354.0
10,0,0,0.14,32.9,39.7,0,0,33.5,336.0
10,0,0,0.74,26.8,83.4,0,0,22.0,483.0
10,0,0,0.3,22.6,79.1,0,0,29.8,427.0
10,0,0,0.11,9.4,79.3,0,0,37.3,262.0
11,0,0,0.59,24.8,50.1,0,0,21.5,458.0
11,0,0,0.03,21.7,50.9,0,0,31.7,356.0
11,0,0,0.57,37.2,51.1,0,0,33.7,433.0
11,0,0,0.21,26.1,37.6,0,0,42.3,315.0
11,0,0,0.06,26.6,40.5,0,0,39.9,302.0
11,0,0,0.05,31.2,68.6,0,0,46.1,315.0
11,0,0,0.0,19.6,32.0,0,0,28.6,331.0
11,0,0,0.42,30.3,69.9,0,0,27.9,412.0
11,0,0,0.4,40.2,36.7,0,0,22.7,345.0
11,0,0,0.24,33.8,52.8,0,0,33.9,342.0
12,0,0,0.3,26.5,46.8,0,0,36.8,359.0
12,0,0,0.26,27.5,78.3,0,0,40.4,334.0
12,0,0,0.04,31.5,82.4,0,0,32.8,320.0
12,0,0,0.0,25.7,44.5,0,0,36.0,299.0
12,0,0,0.44,12.1,47.8,0,0,22.9,437.0
12,0,0,0.33,32.2,65.6,0,0,31.0,376.0
12,0,0,0.22,34.3,33.8,0,0,38.6,363.0
12,0,0,0.28,30.1,79.8,0,0,37.0,373.0
12,0,0,0.0,30.4,49.0,1,0,21.2,494.0
12,0,0,0.47,26.8,56.6,0,0,32.1,460.0
13,0,0,0.69,30.9,44.2,0,0,27.4,437.0
13,0,0,0.12,5.8,69.1,0,0,37.8,333.0
13,0,0,0.21,38.6,68.0,0,0,33.0,348.0
13,0,0,0.07,7.3,32.7,0,0,33.8,303.0
13,0,0,0.0,24.3,66.6,0,0,36.2,273.0
13,0,0,0.14,25.1,30.5,1,0,19.4,491.0
13,0,0,0.3,35.7,60.8,0,0,30.4,382.0
13,0,0,0.0,23.4,67.0,0,0,34.2,290.0
13,0,0,0.52,25.2,59.6,0,0,25.7,413.0
13,0,0,0.0,10.1,54.7,0,0,39.4,308.0
14,0,0,0.0,32.2,79.4,0,0,34.1,304.0
14,0,0,0.0,27.7,53.0,0,0,38.7,235.0
14,0,0,0.14,17.1,75.1,0,0,33.0,348.0
14,0,0,0.57,34.3,51.7,0,0,27.6,433.0
14,0,0,0.41,26.9,66.8,0,0,32.4,410.0
14,0,0,0.22,19.0,38.5,0,0,32.6,351.0
14,0,0,0.16,9.9,64.6,0,0,42.7,280.0
14,0,0,0.46,35.3,80.7,0,0,39.6,390.0
14,0,0,0.0,32.4,48.4,0,0,45.3,292.0
14,0,0,0.36,28.9,81.5,0,0,35.4,382.0
15,0,0,0.44,11.0,52.3,0,0,29.9,453.0
15,0,0,0.0,36.9,40.0,0,0,38.9,267.0
15,0,0,0.11,31.2,39.3,0,0,34.6,327.0
15,0,0,0.0,34.7,34.3,0,0,37.3,249.0
15,0,0,0.49,37.9,51.9,1,0,10.0,683.0
15,0,0,0.19,15.8,31.7,0,0,33.0,361.0
15,0,0,0.07,24.1,31.9,0,0,36.9,284.0
15,0,0,0.0,22.2,84.0,0,0,34.3,321.0
15,0,0,0.55,28.0,89.0,0,0,23.6,386.0
15,0,0,0.36,8.7,39.2,0,0,38.3,438.0
16,0,0,0.39,29.0,56.4,0,0,28.5,362.0
16,0,0,0.0,18.1,88.0,0,0,45.7,241.0
16,0,0,0.0,26.9,56.6,0,0,49.6,294.0
16,0,0,0.29,32.2,64.2,0,0,37.6,332.0
16,0,0,0.06,24.2,58.5,0,0,41.0,269.0
16,0,0,0.28,39.2,82.2,0,0,29.8,376.0
16,0,0,0.28,22.3,46.5,1,0,13.1,547.0
16,0,0,0.2,28.1,81.8,0,0,44.3,294.0
16,0,0,0.0,19.8,75.7,0,0,24.9,307.0
16,0,0,1.01,22.8,81.9,0,0,20.8,542.0
17,0,0,0.36,30.2,64.4,0,1,11.0,755.0
17,0,0,0.16,33.0,60.6,0,1,13.0,651.0
17,0,0,0.19,21.9,71.3,0,1,17.5,676.0
17,0,0,0.08,19.0,51.5,0,1,21.1,576.0
17,0,0,0.49,29.1,47.7,0,1,15.6,793.0
17,0,0,0.33,20.2,76.1,1,1,15.5,1095.0
17,0,0,0.31,33.6,35.3,0,1,11.9,672.0
17,0,0,0.0,11.9,34.0,0,1,18.2,536.0
17,0,0,0.0,26.7,34.6,0,1,14.7,604.0
17,0,0,0.15,25.7,34.4,1,1,10.0,890.0
18,0,0,0.0,17.5,78.2,0,1,21.9,555.0
18,0,0,0.12,30.1,58.6,0,1,10.0,631.0
18,0,0,0.22,27.2,51.5,0,1,14.3,632.0
18,0,0,0.2,33.0,57.0,0,1,18.2,705.0
18,0,0,0.26,21.1,44.5,0,1,14.8,703.0
18,0,0,0.27,36.0,61.2,0,1,10.0,693.0
18,0,0,0.19,10.8,47.1,0,1,10.0,656.0
18,0,0,0.01,25.1,46.6,1,1,12.8,838.0
18,0,0,0.45,18.1,49.0,0,1,10.0,752.0
18,0,0,0.42,21.1,48.8,0,1,13.0,755.0
19,0,0,0.46,23.9,52.6,0,1,21.9,762.0
19,0,0,0.67,14.4,72.2,0,1,18.2,889.0
19,0,0,0.23,26.6,47.9,0,1,10.6,668.0
19,0,0,0.07,26.1,51.6,0,1,18.7,591.0
19,0,0,0.0,6.6,42.5,0,1,14.1,518.0
19,0,0,0.57,22.4,81.0,1,1,10.0,1242.0
19,0,0,0.51,24.4,42.9,0,1,20.0,818.0
19,0,0,0.0,21.7,69.1,0,1,25.6,534.0
19,0,0,0.0,38.1,72.8,0,1,16.8,566.0
19,0,0,0.0,13.7,33.5,0,1,12.9,561.0
20,0,0,0.42,20.9,30.9,0,0,33.7,275.0
20,0,0,0.13,3.9,54.3,0,0,38.6,338.0
20,0,0,0.19,22.9,87.8,0,0,35.7,338.0
20,0,0,0.52,19.2,76.4,0,0,33.7,352.0
20,0,0,0.4,29.7,37.2,0,0,30.3,347.0
20,0,0,0.0,27.0,52.3,0,0,41.9,245.0
20,0,0,0.25,27.0,76.8,0,0,38.8,220.0
20,0,0,0.08,23.6,43.7,0,0,32.8,253.0
20,0,0,0.15,38.3,33.5,0,0,38.9,284.0
20,0,0,0.14,19.8,43.5,0,0,39.3,255.0
21,0,0,0.58,29.5,64.7,0,0,31.0,362.0
21,0,0,0.0,37.6,70.4,0,0,37.5,216.0
21,0,0,0.13,28.7,58.2,0,0,42.5,275.0
21,0,0,0.0,23.8,87.5,0,0,46.5,192.0
21,0,0,0.81,25.1,34.6,0,0,25.4,420.0
21,0,0,0.86,9.8,56.0,0,0,31.5,362.0
21,0,0,0.07,29.7,87.6,0,0,42.5,255.0
21,0,0,0.07,12.1,65.6,0,0,37.2,260.0
21,0,0,0.33,25.2,75.4,0,0,31.3,300.0
21,0,0,0.0,31.6,68.4,0,0,46.5,211.0
22,0,0,0.65,27.8,59.9,1,0,16.6,564.0
22,0,0,0.39,14.8,43.3,0,0,32.2,341.0
22,0,0,0.06,27.1,55.7,0,0,38.8,251.0
